,№,Номер проекта,Название,Руководитель,Ключевые слова,Коды классификатора,Конкурс,Год,"Организация, регион"
770,771,16-19-10463,"Физическое и математическое моделирование взаимодействия турбулентных струй в ограниченном объеме в закрученных потоках с целью разработки новой высокоэффективной технологии сжигания твердого топлива,",Волков Э. П.,"Энергетика, тепловые электрические станции, котельные установки, топочная аэродинамика, прямоточно-вихревой факел, ступенчатое сжигание, прямоточные горелки и сопла, твердое шлакоудаление, физическое и математическое моделирование, природоохранные технологии, оксиды азота",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБОУ ВО ""НИУ ""МЭИ"", 

г Москва"
771,772,16-19-10457,"Исследование интенсивных процессов теплообмена в пористых, капиллярно-пористых системах применительно к ядерной энергетике,",Мирнов С. В.,"плазма, лимитер, дивертор, термоядерный реактор, литий, капиллярно-пористые системы, микротвэлы, шаровая засыпке, экспериментальные исследования, математическая модель, теплообмен, гидродинамика, интенсификация, объемное энерговыделение, визуализация",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБОУ ВО ""НИУ ""МЭИ"", 

г Москва"
772,773,16-17-10076,"Геохимические и изотопные характеристики осадочных пород и руд: возможности и ограничения при реконструкциях источников поступления вещества в осадочные бассейны,",Маслов А. В.,"Осадочные породы и руды, геохимия, Rb-Sr-, C-, O-, U-Pb-, Sm-Nd-изотопные системы, особенности формирования, источники вещества",Науки о Земле,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИГМ СО РАН, Институт геологии и минералогии СО РАН, 

Новосибирская обл"
773,774,16-17-10129,"Физические механизмы и условия образования Os-Ru и Pt-Pd минерализации в расслоенных интрузивах мафит-ультрамафитового состава,",Арискин А. А.,"МПГ-минерализация, сульфидная ликвация, хромшпинелид, расслоенный интрузив, моделирование кристаллизации, КОМАГМАТ, кумулат, рентгеновская микротомография, электронная микроскопия, LA-ICPMS",Науки о Земле,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
774,775,16-17-10251,"Коллизионные и аккреционные структуры Северо-Востока России.,",Соколов С. Д.,"геотектоника, геодинамика, аккреция, коллизия, складчатый пояс, континентальные окраины, офиолиты. реконструкции, Северо-Восток России",Науки о Земле,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ГИН РАН, 

г Москва"
775,776,16-19-10279,"Разработка теоретических основ исследования динамики и отработки технологии электромагнитного подвеса вертикального ротора больших габаритов и веса новых установок атомной энергетики и возобновляемых источников энергии,",Митенков Ф. М.,"Динамика, балансировка, вертикально-осевая ветроэнергетическая установка, дисбаланс, компьютерная модель, гибкий ротор, система управления, электромагнитный подшипник, ядерная энергетическая установка",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, ННГУ, Университет Лобачевского, 

Нижегородская обл"
776,777,16-15-10408,"Молекулярно-генетические основы гестационного сахарного диабета: анализ распространенности этиологических вариантов по данным высокоэффективного параллельного секвенирования и персонализация коррекции углеводного обмена с учетом генотипа.,",Тюльпаков А. Н.,"гестационный сахарный диабет, MODY диабет, аутосомно-доминантный тип наследования, инсулинорезистентность, высокопроизводительное параллельное секвенирование, гликемический контроль, персонализация лечения.",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБУ ""Эндокринологический научный центр"" Минздрава России, ФГБУ ЭНЦ МЗ РФ, 

г Москва"
777,778,16-13-10156,"Донорно-акцепторные хромофоры с квадратичной оптической нелинейностью в ближней ИК области для создания электрооптических материалов радиофотоники,",Шелковников В. В.,"радиофотоника, донорно-акцепторные хромофоры, синтез, пленки хромофор-полимер, нелинейно-оптические, электрооптические свойства",Химия и науки о материалах,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"НИОХ СО РАН, 

Новосибирская обл"
778,779,16-19-10656,"Спектрометрия лазерно-индуцированной плазмы для анализа состава и управления технологией лазерной наплавки металлических изделий (3D принтер) в реальном времени,",Леднев В. Н.,"3D принтер, аддитивные технологии, спектрометрия лазерно-индуцированной плазмы, многоэлементный анализ, онлайн анализ, коаксиальная лазерная наплавка",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"НЦВИ ИОФ РАН, 

г Москва"
779,780,16-19-10227,"Разработка эффективной технологии получения газа энергетического назначения на основе ступенчатой газификации низкосортных твердых топлив,",Шаманский В. А.,"Низкосортное твердое топливо, древесная биомасса, многоступенчатая газификация, энергоэффективность, инструментальные исследования, физический эксперимент, математическое моделирование, технико-экономический анализ, энергетические системы.",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИСЭМ СО РАН, 

Иркутская обл"
780,781,16-13-10444,"Функционализированные производные фуранового ряда и новые материалы на основе 5-гидроксиметилфурфурола,",Смирнова Н. В.,"органический синтез, 5-гидроксиметилфурфурол, возобновляемое сырье, углеводы, фураны, мономеры",Химия и науки о материалах,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова, ФГБОУ ВПО ЮРГПУ (НПИ) имени М.И. Платова, ЮРГПУ (НПИ), 

Ростовская обл"
781,782,16-16-10043,"Расшифровка механизмов рецепции растениями сигнальных молекул, выделяемых симбиотическими и фитопатогенными микроорганизмами.,",Долгих Е. А.,"бобово-ризобиальный симбиоз, арбускулярная микориза, фитопатогены, Nod-факторы, хитоолигосахариды, рецепторы, сигнальные пути, экспрессия белков, регуляция экспрессии генов, масс-спектрометрия, транскриптомика, транскрипционные факторы",Сельскохозяйственные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБНУ ВНИИСХМ, 

г Санкт-Петербург"
782,783,16-19-10557,"Плазмонные источники и детекторы терагерцового излучения на основе новых двумерных материалов,",Свинцов Д. А.,"Двумерный электронный газ, графен, терагерцовое излучение, ван-дер-ваальсовы гетероструктуры, плазмоника, плазменные неустойчивости, резонансное туннелирование, полупроводниковый лазер",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"МФТИ, 

Московская обл"
783,784,16-14-10001,"Выявление генетических и экологических факторов, определяющих содержание в промысловых рыбах полиненасыщенных жирных кислот – протекторов сердечно-сосудистых заболеваний,",Гладышев М. И.,незаменимые полиненасыщенные жирные кислоты омега-3; эйкозапентаеновая кислота; докозагексаеновая кислота; отряд Лососеобразные; рыбы-бентофаги; рыбы-планктофаги; рыбы-ихтиофаги; трофические сети; нуклеотидные последовательности гена цитохрома b митохондриальной ДНК,Биология и науки о жизни,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИБФ СО РАН, 

Красноярский край"
784,785,16-18-10270,"Предпочтения россиян при выборе социально-значимых и общественных благ общегосударственного уровня и их влияние на социальные изменения,",Шкаратан О. И.,"социальные предпочтения, социально-значимые блага, общественные блага, социальные изменения, социальная ставка дисконтирования",Гуманитарные и социальные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Национальный исследовательский университет "" Высшая школа экономики"" (НИУ ВШЭ), 

г Москва"
785,786,16-12-10456,"Равновесная и неравновесная спиновая динамика многоподрешеточных сильно коррелированных магнитных диэлектриков с конкурирующими обменными, спин-орбитальными и магнон-фононными взаимодействиями,",Писарев Р. В.,"Cпиновая динамика, структурно-сложные многоподрешеточные магнетики, рамановская и инфракрасная спектроскопия, селективное оптическое управление магнитными параметрами, обменное, спин-орбитальное, магнон-фононное взаимодействия",Физика и науки о космосе,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФТИ им. А.Ф. Иоффе, 

г Санкт-Петербург"
786,787,16-15-10432,"Терапия необратимых повреждений нервной ткани с помощью нейральных прогениторных клеток и биосовместимого регенеративного матрикса,",Баклаушев В. П.,"нейральные стволовые клетки, биосовместимый матрикс, регенерация, ишемический инсульт, травма головного мозга, позвоночно-спинномозговая травма, моделирование на животных",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБУ ФНКЦ ФМБА России, 

г Москва"
787,788,16-11-10046,"Применение параллельных и распределенных алгоритмов решения проблемы булевой выполнимости (SAT) к криптоанализу, поиску комбинаторных структур и исследованию дискретных моделей коллективного поведения,",Семенов А. А.,"Задача о булевой выполнимости (SAT), криптоанализ, комбинаторные структуры, дискретно-автоматные модели коллективного поведения","Математика, информатика и науки о системах",Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИДСТУ СО РАН, 

Иркутская обл"
788,789,16-11-10028,"Высокопроизводительное моделирование турбулентных режимов генерации высокочастотного электромагнитного излучения в системе плазма — релятивистский электронный пучок.,",Вшивков В. А.,"метод частиц в ячейках, параллельные алгоритмы, плазменная турбулентность, пучково-плазменное взаимодействие, генерация электромагнитного излучения","Математика, информатика и науки о системах",Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИВМиМГ СО РАН, 

Новосибирская обл"
789,790,16-13-10512,"Супергибридные металлоорганические каркасы на твердых подложках: блочная сборка полифункциональных наноструктур из тетрапиррольных соединений, молекулярных проводников и оксида графена,",Арсланов В. В.,"гибридные функциональные материалы, металло-органические каркасы, порфирины, самосборка, наночастицы; наноструктурированные пленки и покрытия",Химия и науки о материалах,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИФХЭ РАН, 

г Москва"
790,791,16-13-10340,"Инновационные материалы электроники на основе фосфатов и ванадатов кальция с одно- двух- и трехвалентными катионами.,",Лазоряк Б. И.,"Фосфаты, ванадаты, пьезокерамика, кристаллическое строение, высокотемпературные сегнетоэлектрики, нелинейно-оптические материалы, люминофоры",Химия и науки о материалах,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
791,792,16-15-10340,"Выявление биоиндикаторов высокого риска сосудистых поражений у больных ишемическим инсультом и сахарным диабетом 2 типа, основанное на изучении фракционного состава аминотиолов, с применением новых хроматографических и электрофоретических подходов,",Кубатиев А. А.,"аминотиолы, высокоэффективная жидкостная хроматография, гомоцистеин, Диагностика, инсульт, капиллярный электрофорез, масс-спектрометрия, окислительный стресс, сахарный диабет, хроническая почечная недостаточность, экспериментальная медицина, эндотелиальная дисфункция, N-гомоцистеинил-лизин, S-аденозилгомоцистеин, S-аденозилметионин",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБНУ ""НИИОПП"", 

г Москва"
792,793,16-19-10340,"Исследование процессов деградации механических и теплофизических свойств композиционных материалов при высокоинтенсивном аэрогазодинамическом нагреве,",Формалев В. Ф.,"конструкционные и теплозащитные композиционные материалы; напряженно-деформированное состояние; связанные процессы теплогазодинамики, теплопроводности, механической и термической упругости; комплексные механико-математические модели теплогазодинамики, анизотропной теплопроводности и термоупругости; пиролиз (деструкция) связующих композиционных материалов, фильтрация и вдув; обратные граничные и коэффициентные задачи; идентификация характеристик; гиперзвуковые летательные аппараты; проектирование.",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"МАИ, 

г Москва"
793,794,16-19-10608,"Расплавно-оксидные мембраны: материалы, свойства, применение,",Белоусов В. В.,"ионно-транспортные мембраны, расплавно-оксидные мембраны, электро- и массоперенос, кислород",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИМЕТ РАН, 

г Москва"
794,795,16-11-10041,"Проблемы дискретной оптимизации в компьютерных технологиях анализа большеразмерных данных,",Кельманов А. В.,"Большеразмерные данные, анализ данных, распознавание образов, дискретная оптимизация, исследование операций, NP-трудные задачи, эффективные алгоритмы с гарантированными оценками точности","Математика, информатика и науки о системах",Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИМ СО РАН, 

Новосибирская обл"
795,796,16-12-10472,"Компрессия и когерентное суммирование ультракоротких лазерных импульсов в нелинейных сплошных средах и многосердцевинных световодах,",Литвак А. Г.,"Экстремальный свет, предельно короткие лазерные импульсы, суперконтинуум, волоконные лазерные системы, солитоны, фотонно-кристаллические световоды, рамановское рассеяние, многосердцевинные волокна, микроструктурированные волокна",Физика и науки о космосе,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИПФ РАН, 

Нижегородская обл"
796,797,16-15-10238,"Создание новых препаратов, ингибирующих интеграцию ВИЧ-1, на основе ген-направленных и антисмысловых олигонуклеотидов,",Гашникова Н. М.,"ВИЧ-1, антиретровирусные препараты, ингибиторы интегразы ВИЧ-1, генотерапия ВИЧ-инфекции, модели ВИЧ-инфекции, производные и аналоги олигонуклеотидов",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФБУН ГНЦ ВБ ""Вектор"", 

Новосибирская обл"
797,798,16-11-10253,"Методы и модели интеллектуальной поддержки принятия решений на основе человеко-машинных облачных вычислений,",Смирнов А. В.,"облачная архитектура, человеко-машинные вычисления, краудсорсинг, интеллектуальная поддержка принятия решений, профилирование, управление онтологиями, управление контекстом, распределенная информационная система, управление знаниями","Математика, информатика и науки о системах",Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"СПИИРАН, 

г Санкт-Петербург"
798,799,16-19-10467,"Формирование поверхностного слоя узлов трения с повышенной износостойкостью,",Мигаль Ю. Ф.,"Трибология, износостойкость, зернограничная сегрегация, химическая связь, рентгеноэлектронная спектроскопия, оже-электронная спектроскопия, машины трения, легирующие элементы, совместимость металлов, упрочняющие элементы",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБОУ ВО РГУПС, 

Ростовская обл"
799,800,16-11-10342,"Многомасштабное компьютерное моделирование процессов кристаллизации и эволюции микроструктуры при лазерном сплавлении порошков металлов и сплавов,",Мирзаде Ф. Х.,"лазерное сплавление порошков, тепло-массоперенос, эволюция микроструктуры, метод фазового поля, затвердевание, численное моделирование","Математика, информатика и науки о системах",Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФНИЦ ""Кристаллография и фотоника"" РАН, 

г Москва"
800,801,16-17-10045,"Взаимодействие общества и природы в лесной зоне Восточно-Европейской равнины в голоцене: динамика ландшафтов и история землепользования,",Новенко Е. Ю.,"палеоклимат, палеоландшафты, голоцен, структура землепользования, спорово-пыльцевой анализ, раковинные амебы, цифровое тематическое картографирование, историческая география, лесная зона, Восточно-Европейская равнина.",Науки о Земле,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Московский государственный университет имени M.В.Ломоносова, МГУ имени M.В.Ломоносова, Московский университет или МГУ, 

г Москва"
801,802,16-19-10346,"Разработка струйной печати оптических наноструктур,",Виноградов А. В.,"струйная печать, золь-гель, планарный волновод, наноконструкция, гетероструктура",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Университет ИТМО, 

г Санкт-Петербург"
802,803,16-15-10203,"Значение интратекальных В-лимфоцитов в патогенезе нейродегенерации при аутоиммунном воспалении для обоснования персонализированной терапии рассеянного склероза,",Скоромец А. А.,"Аутоиммунные заболевания, рассеянный склероз, В-лимфоциты, клиническая-лабораторная диагностика, биомаркеры, нейродегенерация, разработка новых лекарственных средств, персонализированная медицина, биологические лекарственные препараты, иммуногенность лекарственных препаратов, терапевтическая эффективность.",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ГБОУ ВПО ПСПбГМУ им. И.П. Павлова Минздрава России, 

г Санкт-Петербург"
803,804,16-18-10343,"Электронная онлайн-база данных по сравнительной лексикографии семитских языков,",Наумкин В. В.,"семитские языки, сравнительно-историческая лексикография, этимология, древневосточная филология, ассириология, арамеистика, языки Юга Аравии, эфиосемитские языки",Гуманитарные и социальные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ФГБУН ИВ РАН, 

г Москва"
804,805,16-19-10435,"Разработка научных основ процессов многофункционального воздействия на свойства металла и шлака борсодержащими материалами для создания инновационной технологии получения высококачественной стали,",Леонтьев Л. И.,"Металлургия, физико-химические свойства, термодинамика, прямое микролегирование, десульфурация, конструкционные материалы, фазовые превращения, сталь, бор, шлак, микроструктура, неметаллические включения, механические свойства",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ИМЕТ УрО РАН, 

Свердловская обл"
805,806,16-19-10632,"Совершенствование и разработка технологий получения ценных органических продуктов на основе комплексного исследования реакционных и разделительных процессов,",Фролкова А. К.,"химическое превращение, ректификация, реакционно-ректификационный процесс, рециркуляция, фазовое равновесие, расслаивание, математическое моделирование, структура схемы",Инженерные науки,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"МИРЭА, 

г Москва"
806,807,16-15-10391,"Разработка способа прижизненной оценки патологии головного мозга на основе метода мультимодальной оптической когерентной томографии,",Снопова Л. Б.,"мультимодальная оптическая когерентная томография (ММ ОКТ), кросс-поляризационные ОКТ изображения, микроангиография, многофотонная микроскопия, экспериментальные опухолевые модели головного мозга, глиобластома, диагностика",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"ГБОУ ВПО НижГМА Минздрава России, 

Нижегородская обл"
807,808,16-15-10026,"Скелетные мышцы как эндокринный орган: роль натрий-калий опосредованного механизма регуляции транскрипции,",Орлов С. Н.,"скелетная мускулатура, миокины, физическая нагрузка, сопряжение возбуждения и транскрипции, внутриклеточный баланс натрия, калия и кальция, АМР-чувствительная протеинкиназа, гипоксия",Фундаментальные исследования для медицины,Конкурс 2016 года на получение грантов по приоритетному направлению деятельности РНФ «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами»,2016,"Национальный исследовательский Томский государственный университет, Томский государственный университет, НИ ТГУ, ТГУ, 

Томская обл"
